RESTAURANT_NAME,GPS,REVIEWER,DESCRIPTION,rating,review_date,IMAGE URL
B Laban Abu Dhabi,"24.4746835,54.376186",Rizwana Mistry,"Delicious Egyptian Desserts in a Vibrant Atmosphere
I had heard so much hype about B Laban's desserts that I couldn't resist trying them myself. Yesterday, I visited and sampled their mango and chocolate desserts, both of which were simply amazing and utterly delicious.
B Laban specializes in authentic Egyptian desserts, making it a unique find in the dessert scene. The ambience of the place was lively and inviting, perfectly complemented by great service. The staff were exceptionally polite and attentive, adding to the overall positive experience.
The atmosphere here is full of life, with vibrant music and a bustling crowd creating a fantastic vibe. It's clear why there's so much hype around B Laban—it's a must-visit spot for dessert lovers looking for something different and delightful.
**Highly recommended for a sweet treat with great vibes!**",5.0,a month ago,"8303064ec1bfed14acc536fd3237ab,7b9b6262cebd4a83e20fa893ee9d45,24689c3ef7d78886b121fd62a8aef2,46ac3373efd878d83fd9f53be79267,d802874fdaf07f210fcdd2dd3dffed,66d809160fb98fd42b30668fa9a248,9baf8442cb3e648fd90d96df110db2,bb56406a3a80012aaa322252f96997,4e0b655cdcad9839a30fee626d5ae1,7dbbe55932440c4424bc9e0e0ec621,ff3bac9006bf5e29ed3aa196aa4a32,77f7890ac8b854f1a9a2a616c2c692,8219efad69c44a7ea1e97a95313bcd,0c2aacf108fb21e6db4be3821c2e76,1954e99f53c228b0ae5dfec867c11e,8d04513dd34148373e03187137f2cc"
B Laban Abu Dhabi,"24.4746835,54.376186",Mariam Aamir,We enjoyed having different types of desert here. Unfortunately only ice-creams were not available. Outdoor family sitting is nice and neat. There service is good too. Will recommend this place.,4.0,a month ago,"d4219235c40e4ad4ef4471100a8c7a,f99124023b9b89268dbdd58cc952f1,c7107bd053ad12003e09238e29054d,2082fbb611e78a3688d220260ae048,34402a86302c936508e48212b9830f,1a732d41c221ba3d66c9b16df4c213"
B Laban Abu Dhabi,"24.4746835,54.376186",EARL UNLIMITED,"The food here is fantastic! Everything I tried was delicious, well-prepared, and very flavorful. (Anything with pistacios i like best) I would definitely recommend the food to anyone looking for a tasty meal.
However, my experience was brought down a bit by the long wait times. There was a long line for ordering, and then another line for receiving my food that seemed a bit disorganized. (No proper queue) If the staff could improve the ordering and pick-up process, it would make the whole experience much smoother.
Tables are kept unclean.. no proper tissue..
I was also a little put off by the staff member who asked me to leave a review. While I appreciate them wanting feedback, it felt pushy to insist on a 5-star rating. Honest reviews are important, so I wanted to share my full experience, both the good and the not-so-good.
Overall, the delicious food makes this place worth a visit, but be prepared for a wait and arabic menu. Hopefully, they can streamline their ordering process in the future.
Vegetarian options: Not sure for vegetarian..
Dietary restrictions: All very sweet
Parking: Very hard to get during night time and rush hours.
Kid-friendliness: No proper gate.. no high chair for kids
Wheelchair accessibility: Yes accessible..",2.0,a month ago,"bd19db2aee5a876e3503cb608716f9,92d48e231a4608e61f49b496ebe06a,98a2e00bcff00a3b3dfc68ad52fed5,8ea44bfec2d9b8043a36081c6418ff,2af9e3fdd98aed0f9c77ee14f1c501,cc87fdc7b3654237d3a0287c41fef7"
B Laban Abu Dhabi,"24.4746835,54.376186",Buthaina Obeid,"B laban (milky desserts)
We finally tried the egyptian based most trending hotspot in UAE now🇪🇬🍮
Order on Talabat Qashtoula Mango( Mango milk cake) & Um Ali with nuts & cream both delicious and mild sweet",4.0,5 days ago,"267b749c3745d36a9e33ff22066ddc,0a673511955e34337ce40c5965c75d,8376aaa9fda4d53b1e0166a8432c0b,1c99870d4eeb69501e232c012ffff3"
B Laban Abu Dhabi,"24.4746835,54.376186",THUSHARA VENKHAT BALAJI,"I had been waiting to try their delicacies for the past four months as this place is always crowded. I once visited this place at 2:45 am hoping I could get my hands on something but the crowd was so much that I had to return with a heavy heart.
I finally placed my order through noon and wanted to try 3 dishes - lotus and pista qushori, caramel tresleche and mango milk cake.
( They have different names on the menu but I have given the names I understood)
They were outstanding and I was mind blown with the softness of the cake and I was wanting more.
You can keep these dishes in your fridge for up to 2 days and consume them. One dish will be enough for up to 3 people as it's very heavy and filling.
Price - 10/10
Taste - 100/10
Quality - 1000/10",5.0,a month ago,"bc9f30a155b9218b9fbaf3294be559,0ea4ee8f291bb2b4e8a665da3dc072,0306bde9ed8dcc4742c5abd4e6d54f,99be799431f9f3eecbf26411ca1f9b"
B Laban Abu Dhabi,"24.4746835,54.376186",Srinivasa Kikkuru,"Boneless ice cream from B.Laban's is an interesting and entertaining delicacy that is guaranteed to spark conversation.  This is a great treat to post on Instagram if you're looking for something to post. Just be mindful that it may taste a little too sweet. Of course! B.Laban's boneless ice cream is a delightful and unique dessert experience that is definitely worth trying. Just be aware that there could be too much sweetness, and make sure you have a decent dipping sauce on hand.",4.0,3 months ago,"a1437dcf1957784d58ce48cb313ce1,7613bad5114e20ce3cf35b1784dc56"
B Laban Abu Dhabi,"24.4746835,54.376186",Nithin Pushpakumar,"Overpriced. Not worth the money or the hype.
The quality of materials used is questionable for the price they offer them. When premium prices are being demanded, you owe the customer to provide better a much quality.
Even the quantity of sauces, condiments, toppings are not uniform with each order. There is no consistency for the quantity or the quality.
The place itself is also ill managed. The guys at the counter doesn't speak any language other than Arabic. They were transferring materials from a van into the refrigerators and one of the labors almost hit my head while transferring the trays.
I have tried from the place a total of three times now and all three times, it was a bad experience. Not going back again.
Really disappointed and wouldn't recommend.",2.0,a month ago,a3e03e76b5f2555d955bec0539266f
B Laban Abu Dhabi,"24.4746835,54.376186",Mehlika Fathima,"The hype is real!! We had tried desserts from here twice straight in a week. It's super crowded on weekends especially post evenings. You will have to stand long queues to make an order and wait further for the dessert. Best part is it's all super cheap. For the price, they serve you with generous amount of nuts and sauce. The best was fried ice cream which comes with chocolate and pistachio sauces. Tried koshari which came in lotus and pistachio flavour. It was subtle and not overly sweet. Also tried mango milk cake. That wasn't great. But their pistachio milk cake is really good. Also tried waffles and couple of other desserts. All their Icecreams were great. You get two scoops for 15/. It's definitely worth a try. But too much of waiting and effort!! Will recommend.",5.0,4 months ago,"9d69ec5b56395c444c7debf48ae885,c91a856cba2bca0659f1e3f83cc2f5,41f2d7219e6dcfc0f0c9e350a29e81,46a79b40b646b909752de06eb3201b,acaa23d043752d1a707e39e5c2ca6f,94bf6a81c7b2d3c8e92a09094b3fd1,005aa43cb3f65944c3198397fe3a76"
B Laban Abu Dhabi,"24.4746835,54.376186",gandham nikitha,"This place is best go to place for amazing varieties of dessert 🍨 🥧..
We visited around 11 pm.
Waiting time ⏲️  in the queue was very long, and almost we had to wait for 35 to 40 mins for billing.
To get the dish, it took another 10 minutes.
The taste of the dishes was good.
But waiting time with kids was the pain area..
There is not much seating available, so we had to wait again.
We took boneless icecream..which tasted amazing, but it won't be the right 1 for take away. So we waited for the seats and finally had the desserts.",4.0,a month ago,"d65a27de99a22beee98d5f3065118b,5f9ea5b405f57b72480c29c1722382,c931917a19052c194f95f437ddb786,ba777b129365fa6596c21c0d6cebe5,0381499bea8b218f9de848f582558b,fed30afd0918bf6ea941af02612c6a"
B Laban Abu Dhabi,"24.4746835,54.376186",Affrin Khan,"Hello People 😊B.Laban Abu Dhabi visited the viral B.laban outlet.. their is no waiting now so reached to counter .. litter difficult to place order if this is your 1st time.. they have variety. So be prepared with name before you enter to order.. they have fresh strawberries and mango ice cream 🍨 too ... And the authentic dishes are good like rice pudding cake with mango or pistachio or pistachio qushtota. Everything taste delicious 😋 Must visit 😊
Wheelchair accessibility: Not accessible",4.0,3 weeks ago,"d726933c66787d66cb89ed3512a5a5,dc6799b59309831a18e8d1a1ce4e54,74417f23300be3078cf6720c16a188,6a37b091c4470c49cfb09a3779dbd4,598dff3b8001884838cd9fb1cfefa7"
